account_id,account_number,customer_id,branch_id,account_type,balance,interest_rate,overdraft_limit,status,opened_at,closed_at
1,7981986386726206,87,9,CD,296901.98,0.0195,0.00,ACTIVE,2022-03-20T17:13:51,
2,2130750597199083,58,14,SAVINGS,25130.93,0.0252,0.00,ACTIVE,2020-05-15T05:25:59,
3,4764427309313794,101,17,CD,79679.27,0.0194,0.00,ACTIVE,2020-11-10T07:21:02,
4,7142332942165507,193,8,MONEY_MARKET,326110.26,0.0324,0.00,ACTIVE,2020-04-09T12:52:54,
5,3679884660673621,74,4,CHECKING,376560.05,0.0126,1935.24,ACTIVE,2020-01-21T15:27:23,
6,6195418651261938,93,1,SAVINGS,8036.75,0.0132,0.00,ACTIVE,2022-10-14T13:04:11,
7,1764885092959642,121,17,CD,426754.19,0.0248,0.00,ACTIVE,2022-08-30T18:17:45,
8,2152533126219845,30,9,MONEY_MARKET,451140.75,0.0107,0.00,ACTIVE,2021-01-19T06:05:14,
9,2278942042349657,79,19,SAVINGS,70884.24,0.0112,0.00,ACTIVE,2020-08-17T09:52:01,
10,7222654520463884,131,17,BUSINESS,56445.68,0.0496,0.00,ACTIVE,2021-02-22T15:19:13,
11,8082055835226596,94,18,CD,457171.08,0.0385,0.00,ACTIVE,2022-09-17T09:51:49,
12,3323048570836788,108,7,BUSINESS,69770.17,0.0176,0.00,ACTIVE,2020-12-31T13:48:40,
13,8049114418854310,72,4,SAVINGS,242042.87,0.0265,0.00,ACTIVE,2020-06-18T19:41:59,
14,1806726411987990,100,5,BUSINESS,233861.34,0.0342,0.00,ACTIVE,2020-09-25T04:39:55,
15,2073890548614712,83,16,BUSINESS,94954.32,0.0073,0.00,ACTIVE,2021-04-10T04:39:26,
16,8707685465883537,99,11,MONEY_MARKET,452268.24,0.0321,0.00,ACTIVE,2022-06-06T06:33:45,
17,5637841247514045,59,9,MONEY_MARKET,158090.75,0.0027,0.00,ACTIVE,2021-02-12T13:33:55,
18,6113518157402956,2,18,SAVINGS,324674.18,0.0449,0.00,ACTIVE,2021-06-01T07:15:22,
19,1972546755232491,157,10,BUSINESS,495352.63,0.0428,0.00,ACTIVE,2021-03-18T13:26:26,
20,6087791016454351,133,5,CD,249925.50,0.0298,0.00,ACTIVE,2022-11-10T13:30:00,
21,5952626555387627,90,17,CHECKING,477305.44,0.0346,1312.74,ACTIVE,2021-11-26T10:49:41,
22,9613146551769879,119,3,MONEY_MARKET,58173.37,0.0250,0.00,ACTIVE,2021-07-29T23:25:12,
23,2399737685847661,198,20,CD,130016.26,0.0058,0.00,ACTIVE,2021-06-20T14:54:48,
24,4079604164225582,159,16,CHECKING,33683.50,0.0403,3001.14,ACTIVE,2022-06-25T14:46:25,
25,4870590395543063,120,4,SAVINGS,114608.24,0.0115,0.00,ACTIVE,2021-07-22T09:42:11,
26,2401740310870423,91,7,CHECKING,140557.15,0.0387,2234.00,ACTIVE,2021-10-16T08:40:35,
27,2375072372265707,74,20,BUSINESS,104899.39,0.0338,0.00,ACTIVE,2020-09-09T00:36:44,
28,2560506487945811,194,12,SAVINGS,61713.01,0.0356,0.00,ACTIVE,2022-02-10T08:17:14,
29,4112913338620500,59,5,CD,132495.32,0.0423,0.00,ACTIVE,2020-08-10T21:10:20,
30,7272251912067444,25,12,SAVINGS,475701.47,0.0291,0.00,ACTIVE,2021-06-16T20:45:10,
31,4502751363835368,133,10,BUSINESS,153844.45,0.0125,0.00,ACTIVE,2021-02-26T05:00:05,
32,2578565582037476,56,3,MONEY_MARKET,32899.77,0.0194,0.00,ACTIVE,2022-05-05T07:29:12,
33,1438537335341747,123,12,BUSINESS,125141.68,0.0172,0.00,ACTIVE,2022-08-06T20:47:18,
34,5004038578349631,102,5,MONEY_MARKET,187864.46,0.0427,0.00,ACTIVE,2020-06-07T19:32:57,
35,5210283249511290,198,11,CD,258493.37,0.0487,0.00,ACTIVE,2022-02-25T22:53:49,
36,1473380298954679,44,16,SAVINGS,10459.86,0.0060,0.00,ACTIVE,2020-02-11T22:14:29,
37,5309334784367825,55,19,CD,74583.41,0.0459,0.00,ACTIVE,2020-05-05T02:41:01,
38,9078099525963723,66,16,SAVINGS,79244.24,0.0356,0.00,ACTIVE,2022-06-27T23:56:22,
39,3601382896855385,176,3,CD,274722.28,0.0102,0.00,ACTIVE,2021-02-04T01:45:13,
40,3308657896446884,132,8,MONEY_MARKET,405470.94,0.0263,0.00,ACTIVE,2021-09-10T09:11:45,
41,6731806020307576,11,5,MONEY_MARKET,84831.29,0.0284,0.00,ACTIVE,2020-07-18T08:00:30,
42,8246128515491577,64,17,MONEY_MARKET,362417.06,0.0091,0.00,ACTIVE,2022-06-18T13:31:39,
43,3080125527713775,101,6,CD,162973.47,0.0392,0.00,ACTIVE,2020-10-05T01:15:45,
44,9139288260252775,89,1,SAVINGS,250057.75,0.0247,0.00,ACTIVE,2022-11-20T13:47:41,
