customer_id,customer_number,first_name,last_name,email,phone,date_of_birth,ssn_hash,address,city,state,postal_code,country,kyc_status,credit_score,created_at,is_active
1,CUST000001,James,Martinez,james.martinez1@example.com,555-209-9870,1969-08-10,b46cd04539aeec8ffd5279a3ab2c17ff3df9658c958d54f2abb92bd41597c5aa,3185 Maple Ave,Houston,CA,47317,USA,VERIFIED,617,2021-08-16T02:36:05,true
2,CUST000002,Richard,Davis,richard.davis2@example.com,555-749-6002,1990-10-06,fdb56eb1ce3d471a10e2980cddb9500c4a32192520b3c10c9c425f6c7e766525,8966 Oak Ln,Atlanta,MI,30455,USA,VERIFIED,796,2020-02-01T02:25:52,true
3,CUST000003,Karen,Miller,karen.miller3@example.com,555-787-2886,1953-07-25,667daee7646ffcf53163f56aed10539732eb42ce9867f1171ca31a52df953515,5796 Elm St,Columbus,PA,55469,USA,VERIFIED,808,2022-04-20T11:36:31,true
4,CUST000004,Susan,Martinez,susan.martinez4@example.com,555-700-4768,1979-09-12,882b3f7d6fec8344d41c879fb6e3f224c6752c7f1e58cf26e991b6bb57b1660b,4760 Pine St,Los Angeles,NC,44578,USA,VERIFIED,693,2021-04-12T01:55:36,true
5,CUST000005,Joseph,Lopez,joseph.lopez5@example.com,555-764-4975,1972-08-20,7340b1723e214387d59ef97740743262d6727572f43ef364d37ddeafcd8d4628,3183 High St,Charlotte,GA,37056,USA,VERIFIED,762,2021-04-29T07:16:45,true
6,CUST000006,David,Gonzalez,david.gonzalez6@example.com,555-236-4627,2002-10-12,df335fa3ed7b7e70941d1849638a266460502c06c77e2374abccc6af33492b57,7961 Pine St,Detroit,IL,53827,USA,VERIFIED,731,2022-06-23T21:08:53,true
7,CUST000007,John,Smith,john.smith7@example.com,555-764-1849,1967-01-18,7e97f2099a038aab5d28e7fac989cd65a2165d7027afe0fcac2592a7ce4fa4a4,2670 Pine St,Chicago,FL,78505,USA,VERIFIED,707,2021-11-26T22:40:31,true
8,CUST000008,Jessica,Lopez,jessica.lopez8@example.com,555-515-7838,1983-12-23,f63e0c97ccd6e0e455c7b3195319158f4fa954a84ea9beda81d46311da0aa0a3,6623 Oak Ln,Atlanta,FL,30523,USA,VERIFIED,820,2020-09-11T07:48:58,true
9,CUST000009,Robert,Rodriguez,robert.rodriguez9@example.com,555-563-7689,1962-09-13,ea52608d4397b2ecdeaa054f0d12a88cdf406b91f83e2470cbf42e1a46a45e28,8216 Elm St,Miami,CA,94299,USA,VERIFIED,691,2021-07-15T17:03:43,true
10,CUST000010,Linda,Garcia,linda.garcia10@example.com,555-209-6250,2001-12-05,e01fb87f2c3acff2b92609e0de768a80cac4890ed29b76a777e7a2e309b48e96,7404 Pine St,Philadelphia,NY,79883,USA,VERIFIED,764,2022-03-29T20:41:41,true
