address_id,customer_id,label,street_line1,street_line2,city,state,postal_code,country,is_default,created_at
1,13,Work,571 Main St,,Phoenix,AZ,10197,USA,FALSE,2025-11-09T03:52:05.818336
2,32,Work,6930 Main St,,Chicago,TX,90129,USA,TRUE,2026-04-08T14:05:06.818336
3,136,Home,9051 Main St,Apt 30,Los Angeles,NY,38704,USA,FALSE,2026-02-01T21:35:46.818336
4,52,Other,9321 Main St,Apt 19,New York,NY,44051,USA,TRUE,2025-12-02T15:57:38.818336
5,62,Other,8305 Main St,Apt 64,Phoenix,IL,81753,USA,FALSE,2025-05-04T23:01:17.818336
6,13,Work,2285 Main St,Apt 70,New York,IL,37390,USA,TRUE,2026-09-09T01:50:26.818336
7,191,Other,1747 Main St,Apt 29,Chicago,NY,83690,USA,TRUE,2025-05-10T02:12:34.818336
8,102,Other,7108 Main St,,Chicago,CA,28449,USA,TRUE,2024-09-21T22:27:41.818336
9,21,Home,6700 Main St,Apt 17,Los Angeles,NY,21214,USA,FALSE,2025-10-09T23:59:39.818336
10,45,Home,1522 Main St,,Los Angeles,CA,40349,USA,TRUE,2024-12-09T17:38:14.818336
11,72,Other,4978 Main St,Apt 100,Los Angeles,NY,22019,USA,FALSE,2026-01-01T03:29:39.818336
12,138,Other,4019 Main St,Apt 8,Los Angeles,NY,97325,USA,TRUE,2024-11-03T00:59:40.818336
13,52,Other,8005 Main St,,Los Angeles,TX,73453,USA,FALSE,2025-09-15T20:38:29.818336
14,9,Work,4948 Main St,Apt 3,Los Angeles,IL,58608,USA,FALSE,2025-06-22T15:15:47.818336
15,74,Work,165 Main St,Apt 8,Chicago,IL,79153,USA,FALSE,2026-02-17T23:31:33.818336
16,138,Home,8395 Main St,,Los Angeles,TX,38485,USA,FALSE,2024-12-14T14:55:33.818336
17,71,Home,6831 Main St,,Phoenix,IL,97334,USA,FALSE,2025-09-26T00:25:13.818336
18,159,Work,3321 Main St,,New York,TX,50979,USA,TRUE,2025-06-19T07:38:32.818336
19,185,Home,3576 Main St,,Chicago,CA,81887,USA,FALSE,2026-07-04T02:54:46.818336
20,91,Home,714 Main St,Apt 95,New York,IL,85524,USA,FALSE,2026-04-02T18:04:16.818336
21,143,Work,3447 Main St,,Phoenix,CA,28340,USA,TRUE,2026-03-31T16:57:54.818336
22,85,Work,3134 Main St,Apt 72,Chicago,IL,14886,USA,TRUE,2025-04-08T04:31:16.818336
23,142,Other,7076 Main St,,Phoenix,AZ,24727,USA,FALSE,2026-08-24T05:25:32.818336
24,169,Work,385 Main St,,Phoenix,IL,12588,USA,FALSE,2026-01-08T11:08:33.818336
25,174,Home,8976 Main St,,Houston,NY,14011,USA,TRUE,2025-07-19T08:32:20.818336
26,33,Home,4575 Main St,,Houston,CA,47023,USA,TRUE,2025-12-23T04:29:57.818336
27,89,Home,6174 Main St,Apt 26,New York,TX,69640,USA,FALSE,2026-03-26T05:23:09.818336
28,112,Work,5358 Main St,Apt 79,New York,IL,36872,USA,TRUE,2026-07-11T14:59:41.818336
29,85,Home,281 Main St,Apt 92,Phoenix,CA,59318,USA,TRUE,2025-06-02T00:00:43.818336
30,24,Work,1161 Main St,,Chicago,TX,65535,USA,FALSE,2024-12-27T12:02:39.818336
31,184,Work,5566 Main St,Apt 5,New York,CA,88120,USA,FALSE,2026-03-16T23:03:56.818336
32,103,Other,5456 Main St,,Phoenix,CA,88726,USA,FALSE,2026-07-01T10:41:44.818336
33,75,Home,2941 Main St,,New York,IL,81587,USA,TRUE,2025-12-19T00:01:48.818336
34,32,Home,4509 Main St,,Houston,CA,21602,USA,FALSE,2026-03-26T09:15:06.818336
35,88,Work,211 Main St,Apt 86,Phoenix,NY,84360,USA,TRUE,2025-12-19T23:49:24.818336
36,50,Other,2309 Main St,,New York,TX,58596,USA,FALSE,2025-08-27T03:11:43.818336
37,167,Work,4011 Main St,,Chicago,NY,62277,USA,TRUE,2025-02-23T21:47:23.818336
38,78,Work,1265 Main St,,New York,AZ,68988,USA,TRUE,2025-11-29T23:13:32.818336
39,139,Work,3327 Main St,,New York,AZ,71109,USA,TRUE,2025-02-07T12:59:02.818336
40,51,Home,1033 Main St,,Houston,AZ,49385,USA,FALSE,2024-10-23T18:29:00.818336
41,168,Work,9336 Main St,Apt 18,Chicago,IL,99457,USA,TRUE,2026-01-28T04:19:42.818336
42,138,Work,3399 Main St,Apt 84,Phoenix,AZ,79373,USA,TRUE,2026-01-05T12:19:17.818336
43,59,Home,3788 Main St,,Houston,AZ,99993,USA,FALSE,2025-07-25T09:22:15.818336
44,89,Work,5160 Main St,Apt 29,Phoenix,CA,44463,USA,FALSE,2026-02-16T07:30:59.818336
45,45,Work,2365 Main St,,Chicago,CA,54509,USA,TRUE,2025-02-03T18:39:59.818336
46,60,Home,3732 Main St,Apt 85,Phoenix,CA,61205,USA,FALSE,2025-02-18T08:09:18.818336
47,63,Home,3195 Main St,Apt 75,Chicago,CA,46074,USA,TRUE,2026-02-26T03:54:27.818336
48,180,Work,9063 Main St,Apt 68,Chicago,NY,41179,USA,TRUE,2025-09-29T07:05:34.818336
49,76,Home,908 Main St,,Los Angeles,CA,15917,USA,TRUE,2025-06-17T23:19:06.818336
50,88,Other,2140 Main St,Apt 97,Los Angeles,AZ,93807,USA,FALSE,2025-11-18T05:33:37.818336
51,198,Work,3125 Main St,Apt 80,Los Angeles,CA,16035,USA,FALSE,2026-05-01T23:15:32.818336
52,103,Home,5637 Main St,,Phoenix,IL,35533,USA,FALSE,2026-08-01T22:25:20.818336
53,33,Home,4666 Main St,,Phoenix,AZ,29690,USA,TRUE,2025-10-18T18:12:21.818336
54,65,Home,4802 Main St,Apt 34,New York,NY,14931,USA,FALSE,2026-05-01T23:41:10.818336
55,3,Other,1262 Main St,Apt 22,New York,CA,70319,USA,TRUE,2025-06-22T11:28:31.818336
56,4,Home,9070 Main St,,Los Angeles,CA,43720,USA,TRUE,2025-09-21T05:07:32.818336
57,43,Other,2079 Main St,,New York,NY,17428,USA,TRUE,2024-10-02T14:15:31.818336
58,46,Other,3726 Main St,,Chicago,CA,96401,USA,TRUE,2026-06-11T18:03:13.818336
59,5,Home,5792 Main St,Apt 84,Chicago,IL,44904,USA,TRUE,2025-12-24T21:30:04.818336
60,74,Home,183 Main St,Apt 89,Houston,CA,62733,USA,FALSE,2024-11-12T16:41:23.818336
61,163,Other,4022 Main St,,Houston,AZ,20924,USA,FALSE,2025-02-06T10:01:30.818336
62,17,Other,4186 Main St,Apt 67,Chicago,IL,83906,USA,FALSE,2024-09-23T02:01:06.818336
63,44,Home,9333 Main St,,Phoenix,CA,88532,USA,FALSE,2025-08-10T13:31:28.818336
64,124,Work,4389 Main St,,New York,IL,63100,USA,TRUE,2025-06-30T06:03:59.818336
65,61,Work,1702 Main St,,Houston,NY,21901,USA,FALSE,2025-10-22T23:14:38.818336
66,132,Other,2473 Main St,,New York,NY,40260,USA,TRUE,2025-12-17T21:06:59.818336
67,91,Work,4290 Main St,,Houston,TX,50008,USA,FALSE,2026-01-13T00:09:24.818336
68,116,Work,3086 Main St,,New York,IL,56029,USA,FALSE,2026-04-30T13:18:25.818336
69,67,Home,5534 Main St,Apt 29,Phoenix,NY,17528,USA,FALSE,2025-05-21T15:01:36.818336
70,60,Home,6103 Main St,,Houston,CA,43390,USA,TRUE,2026-07-01T03:09:09.818336
71,173,Other,8303 Main St,Apt 21,Phoenix,CA,22039,USA,TRUE,2024-12-12T01:01:50.818336
72,188,Home,7454 Main St,,Houston,CA,80377,USA,FALSE,2026-02-03T00:30:27.818336
73,56,Work,3648 Main St,,New York,AZ,15216,USA,TRUE,2025-05-29T02:56:13.818336
74,80,Work,5263 Main St,,Los Angeles,IL,65719,USA,TRUE,2025-02-14T10:50:03.818336
75,24,Other,5516 Main St,Apt 26,Chicago,IL,81351,USA,FALSE,2024-12-12T12:57:50.818336
76,39,Home,1870 Main St,,Chicago,TX,78014,USA,FALSE,2024-10-23T11:51:13.818336
77,138,Other,4776 Main St,Apt 62,Los Angeles,AZ,30821,USA,TRUE,2024-10-31T04:47:24.818336
78,13,Home,8982 Main St,Apt 87,Phoenix,NY,46670,USA,FALSE,2025-10-25T21:37:35.818336
79,61,Work,9404 Main St,Apt 55,Phoenix,TX,99660,USA,TRUE,2025-03-01T17:02:49.818336
80,39,Home,1071 Main St,Apt 16,New York,NY,78599,USA,TRUE,2026-09-05T10:42:52.818336
81,43,Other,9062 Main St,,Chicago,NY,34596,USA,FALSE,2024-10-24T02:27:36.818336
82,97,Home,1302 Main St,,New York,AZ,22266,USA,FALSE,2026-05-21T15:19:18.818336
83,111,Other,7765 Main St,,Phoenix,AZ,52221,USA,TRUE,2026-02-21T10:23:06.818336
84,108,Work,6525 Main St,,Los Angeles,NY,37442,USA,TRUE,2026-02-09T05:34:27.818336
85,180,Other,8727 Main St,Apt 40,Los Angeles,CA,90692,USA,TRUE,2024-12-05T04:00:09.818336
86,12,Other,3023 Main St,,Chicago,AZ,60090,USA,FALSE,2025-05-18T15:36:18.818336
87,171,Other,9403 Main St,Apt 56,Chicago,IL,44494,USA,FALSE,2025-08-06T10:23:15.818336
88,139,Home,7982 Main St,Apt 96,Houston,NY,63606,USA,TRUE,2026-05-08T04:27:10.818336
89,56,Home,9232 Main St,,Phoenix,TX,35612,USA,TRUE,2024-10-13T04:59:42.818336
90,136,Work,154 Main St,,Los Angeles,AZ,23663,USA,FALSE,2025-03-27T04:18:04.818336
91,87,Work,3848 Main St,Apt 93,Chicago,IL,89812,USA,FALSE,2026-07-30T00:01:02.818336
92,84,Other,3125 Main St,,Houston,CA,21415,USA,FALSE,2025-11-20T02:04:19.818336
93,142,Other,4650 Main St,,Los Angeles,TX,54009,USA,FALSE,2025-08-31T04:14:20.818336
94,57,Home,1862 Main St,,Chicago,AZ,45648,USA,TRUE,2025-09-24T17:58:48.818336
95,171,Work,1489 Main St,Apt 61,New York,TX,92436,USA,FALSE,2026-04-06T04:44:42.818336
96,137,Work,2153 Main St,Apt 49,New York,CA,52385,USA,TRUE,2025-07-06T19:36:54.818336
97,11,Home,593 Main St,,Phoenix,TX,71742,USA,TRUE,2024-11-25T04:58:41.818336
98,15,Other,5676 Main St,,New York,TX,43901,USA,TRUE,2025-05-17T10:58:19.818336
99,127,Other,8653 Main St,,Phoenix,TX,67895,USA,TRUE,2025-02-28T12:38:31.818336
100,162,Other,3123 Main St,,Houston,IL,94928,USA,FALSE,2025-09-23T13:50:11.818336
101,139,Work,2977 Main St,Apt 40,Houston,TX,34389,USA,TRUE,2025-05-14T12:08:28.818336
102,6,Work,8519 Main St,,New York,CA,96855,USA,TRUE,2025-12-18T20:10:58.818336
103,80,Other,227 Main St,Apt 56,Los Angeles,IL,92054,USA,FALSE,2025-09-05T15:53:00.818336
104,42,Other,7261 Main St,Apt 30,Los Angeles,NY,52152,USA,TRUE,2025-02-05T04:08:15.818336
105,34,Other,6509 Main St,,Chicago,IL,93991,USA,TRUE,2024-11-11T03:59:06.818336
106,85,Work,1862 Main St,,Los Angeles,NY,25673,USA,FALSE,2026-04-29T02:19:26.818336
107,62,Other,341 Main St,Apt 52,Los Angeles,NY,49768,USA,TRUE,2026-03-13T11:52:15.818336
108,12,Home,8001 Main St,,Chicago,NY,41652,USA,TRUE,2024-11-06T18:23:08.818336
109,184,Home,8635 Main St,,Chicago,TX,98386,USA,FALSE,2024-09-26T11:48:20.818336
110,78,Other,3315 Main St,Apt 38,New York,TX,18511,USA,FALSE,2026-08-29T17:09:59.818336
111,104,Work,3828 Main St,,New York,IL,93838,USA,TRUE,2025-10-17T11:38:58.818336
112,71,Other,9634 Main St,,Phoenix,IL,50500,USA,FALSE,2024-12-23T15:21:03.818336
113,192,Other,9131 Main St,Apt 34,Houston,NY,32676,USA,FALSE,2025-07-28T05:47:41.818336
114,15,Other,6865 Main St,Apt 80,Chicago,TX,97046,USA,FALSE,2025-07-03T20:43:07.818336
115,80,Other,2445 Main St,,New York,CA,94922,USA,FALSE,2025-12-28T03:05:23.818336
116,150,Other,8014 Main St,,Houston,CA,29560,USA,TRUE,2026-05-26T07:02:37.818336
117,32,Work,2672 Main St,,Houston,IL,61425,USA,FALSE,2025-09-08T12:47:10.818336
118,104,Work,4008 Main St,Apt 88,New York,CA,57337,USA,FALSE,2025-11-22T23:06:35.818336
119,141,Work,452 Main St,Apt 17,Los Angeles,CA,20790,USA,FALSE,2025-11-23T20:41:47.818336
120,135,Other,1776 Main St,,Phoenix,NY,22214,USA,TRUE,2025-08-20T01:28:54.818336
121,167,Other,5695 Main St,,Chicago,NY,27116,USA,TRUE,2025-12-20T19:07:15.818336
122,110,Other,5659 Main St,,New York,TX,76724,USA,TRUE,2026-03-09T05:36:37.818336
123,46,Other,4634 Main St,,Los Angeles,TX,10163,USA,FALSE,2026-03-19T09:06:24.818336
124,99,Other,7168 Main St,,Los Angeles,CA,38292,USA,FALSE,2024-10-16T22:25:49.818336
125,153,Work,1071 Main St,Apt 43,Houston,AZ,72404,USA,FALSE,2025-08-26T04:26:14.818336
126,12,Home,7002 Main St,,Phoenix,CA,38622,USA,TRUE,2026-08-12T07:14:01.818336
127,83,Home,8378 Main St,Apt 83,Houston,IL,46743,USA,TRUE,2025-08-17T14:16:11.818336
128,194,Home,5007 Main St,Apt 98,Los Angeles,AZ,19294,USA,TRUE,2025-05-13T11:09:33.818336
129,156,Other,8511 Main St,,Los Angeles,NY,83561,USA,TRUE,2025-01-16T07:16:53.818336
