customer_id,email,password_hash,first_name,last_name,phone,date_of_birth,loyalty_points,is_active,created_at,last_login
1,customer1@example.com,hash_6693ab5edb784e2fa48d93156f25463d,FirstName1,LastName1,+1555000001,1998-01-21,677,TRUE,2026-04-26T04:21:36.818336,2026-08-09T03:24:41.818336
2,customer2@example.com,hash_3c7f950dcba84f27ad98c18c90ce9fa1,FirstName2,LastName2,+1555000002,2006-11-28,1683,TRUE,2025-12-07T19:24:36.818336,2026-06-02T12:03:20.818336
3,customer3@example.com,hash_6eb6758b51c44ae0991a57c1fbe1d8eb,FirstName3,LastName3,+1555000003,1974-10-31,3411,TRUE,2024-10-01T06:56:08.818336,2025-08-20T13:08:13.818336
4,customer4@example.com,hash_58da80126c084490b70b0e7c697c6473,FirstName4,LastName4,+1555000004,1964-06-27,933,TRUE,2026-01-28T05:41:28.818336,2026-06-20T10:08:12.818336
5,customer5@example.com,hash_645ce886d2aa4a59861a5bd0efa772fd,FirstName5,LastName5,+1555000005,1974-06-28,494,TRUE,2025-07-29T22:37:37.818336,2025-09-30T02:39:25.818336
6,customer6@example.com,hash_c62730987135480983f437ef9898c939,FirstName6,LastName6,+1555000006,2006-07-09,308,TRUE,2025-08-13T06:11:20.818336,2025-11-27T09:41:07.818336
7,customer7@example.com,hash_517c2bdccff64661be2212c12c78b1d2,FirstName7,LastName7,+1555000007,1968-06-12,1029,TRUE,2025-05-24T12:28:21.818336,2025-12-23T02:18:46.818336
8,customer8@example.com,hash_985e7972fc1a4d3ba19905f54f8dccd2,FirstName8,LastName8,+1555000008,1988-09-08,1213,TRUE,2025-01-25T20:31:48.818336,2026-05-03T15:27:17.818336
9,customer9@example.com,hash_6f5dc0bb7e934904bddea5c0d7ad952b,FirstName9,LastName9,+1555000009,1997-12-10,1141,TRUE,2025-04-26T14:19:53.818336,2026-07-27T02:10:04.818336
10,customer10@example.com,hash_ae90a2492f46443a98308ed473c9787d,FirstName10,LastName10,+1555000010,1969-08-05,1117,TRUE,2026-03-25T10:24:34.818336,2026-07-28T04:47:13.818336
11,customer11@example.com,hash_1f36677c48a84b71b62f14f3a4909b59,FirstName11,LastName11,+1555000011,1965-07-10,4599,TRUE,2026-04-22T09:20:43.818336,2026-08-23T07:00:29.818336
12,customer12@example.com,hash_4804b5405ad442f2b95c67756f3bca6e,FirstName12,LastName12,+1555000012,1963-07-04,4437,TRUE,2026-02-16T18:22:13.818336,2026-09-11T23:24:40.818336
13,customer13@example.com,hash_1713272e7d664a619cc156b0a2c6f76d,FirstName13,LastName13,+1555000013,1999-09-22,4563,TRUE,2025-10-01T02:49:39.818336,2026-09-02T14:23:20.818336
14,customer14@example.com,hash_7944b4a3f715473781179c4116c6be96,FirstName14,LastName14,+1555000014,1976-07-08,4678,TRUE,2025-11-23T20:42:37.818336,2026-03-06T01:29:46.818336
15,customer15@example.com,hash_59911c45f2c44d318ceda7bc65fa1c34,FirstName15,LastName15,+1555000015,1965-08-12,2358,TRUE,2025-07-07T22:08:13.818336,2025-08-13T01:35:17.818336
